"","SEXO","EDAD","NACIO","RAMA","T_UNIV","DISCA","LUG_RES_PAIS","PAIS_NAC_PADRE","ESTUDIOS_PADRE","PAIS_NAC_MADRE","ESTUDIOS_MADRE","BECA","EXTRANJERO","MOTIVO","VOLVERIA","MISMA_CARRERA","OTRO_GRADO","MASTER","DOCTORADO","EST_ARTIST","CICLO_SUP","CICLO_MED","OTROS_EST","NUM_EST","IDIOMAS","TECH","MV_ESP","MV_FUE","SIT_LABORAL","SIT_PROFESIONAL","TR_SUELDO","FORMAC_TR","RAMA_TR","USO_ESTUD_TR","F_TEOR_TR","F_PRAC_TR","F_IDIOM_TR","F_TECH_TR","F_PERSON_TR","F_GEST_TR","OTRO_TRAB","EST_CIVIL","HOGAR","EMPLEADO_PRODUCTIVO"
"79","M","2_30-34","E","CCSS","PuP","No","E","E","8_U","E","8_U","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","2","1_B","No","No","E","TP","4_1500-1999","3","Si","Si","5","4","3","2","4","4","No","1_S","3_PsH","Si"
"80","H","3_>=35","E","CCSS","PuV","No","E","E","2_PI","E","3_PC","No","No","L","Si","Si","Si","No","No","No","Si","No","Si","2","0","3_A","No","No","E","TP","4_1500-1999","3","Si","Si","4","5","2","4","5","4","No","2_C","4_PcH","Si"
"81","M","3_>=35","E","CCSS","PuP","No","E","E","3_PC","E","2_PI","No","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","No","No","I","D","0_D","0","D","D","0","0","0","0","0","0","D","1_S","1_UNI","No"
"82","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","4_S","Si","No","L","Si","Si","No","Si","No","No","No","No","Si","0","1","2_M","No","No","E","TP","1_<700","5","No","No","1","1","4","4","5","4","Si","1_S","3_PsH","No"
"83","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","Si","No","P","Si","Si","No","Si","No","No","No","No","Si","0","1","2_M","No","No","E","TT","4_1500-1999","5","No","No","1","4","1","3","5","3","Si","1_S","4_PcH","No"
"84","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","2_PI","No","No","P","Si","No","No","No","No","No","Si","No","Si","0","2","3_A","No","No","E","TP","3_1000-1499","3","No","No","5","5","1","5","5","5","No","1_S","5_Otr","No"
"85","M","3_>=35","E","CCSS","PuP","No","E","E","6_PM","E","4_S","No","No","P","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","No","No","E","TP","5_2000-2499","2","Si","Si","4","5","2","3","5","4","Si","2_C","3_PsH","Si"
"86","M","3_>=35","E","CCSS","PuV","No","E","E","8_U","O","8_U","No","No","P","Si","Si","Si","No","No","No","Si","No","Si","1","3","3_A","No","No","E","TT","3_1000-1499","3","Si","Si","2","5","5","3","5","5","No","5_D","3_PsH","Si"
"87","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","4_S","Si","No","L","Si","Si","No","Si","No","No","No","No","Si","0","1","2_M","No","No","E","TT","3_1000-1499","3","Si","Si","5","5","1","2","5","5","No","1_S","3_PsH","Si"
"88","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","4_S","Si","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","1_B","No","No","E","TP","4_1500-1999","3","Si","Si","5","5","2","1","2","5","No","1_S","3_PsH","Si"
